cohort_id,language_edition,total_entities,represented_entities,representation_pct
french_seed,frwiki,1638,1393,85.04
french_seed,enwiki,1638,950,58.0
french_seed,dewiki,1638,703,42.92
french_seed,ruwiki,1638,581,35.47
french_seed,itwiki,1638,542,33.09
french_seed,eswiki,1638,470,28.69
french_seed,svwiki,1638,408,24.91
french_seed,plwiki,1638,289,17.64
french_seed,ptwiki,1638,280,17.09
french_seed,nlwiki,1638,253,15.45
french_seed,ukwiki,1638,229,13.98
french_seed,dawiki,1638,124,7.57
global_writers,enwiki,14377,5305,36.9
global_writers,dewiki,14377,3980,27.68
global_writers,frwiki,14377,3481,24.21
global_writers,ruwiki,14377,2436,16.94
global_writers,itwiki,14377,2049,14.25
global_writers,eswiki,14377,1835,12.76
global_writers,svwiki,14377,1826,12.7
global_writers,plwiki,14377,1207,8.4
global_writers,ptwiki,14377,973,6.77
global_writers,nlwiki,14377,931,6.48
global_writers,ukwiki,14377,868,6.04
global_writers,dawiki,14377,568,3.95
