context_family,wikidata_id,person_id,name,place_role,place_id,place_label,matched_token_ids,matched_token_labels,direct_country_ids,direct_country_labels,admin_country_ids,admin_country_labels,context_country_ids,context_country_labels,admin_entity_ids,admin_entity_labels
British Empire/colonial context,http://www.wikidata.org/entity/Q500046,Q500046,Albert Gallatin,residence,Q100,Boston,Q179997,Thirteen Colonies,Q30 | Q2079909 | Q1191350,États-Unis | province de la Baie-du-Massachusetts | Colonie de la baie du Massachusetts,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54072 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Suffolk | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q500046,Q500046,Albert Gallatin,work_location,Q100,Boston,Q179997,Thirteen Colonies,Q30 | Q2079909 | Q1191350,États-Unis | province de la Baie-du-Massachusetts | Colonie de la baie du Massachusetts,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54072 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Suffolk | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q595486,Q595486,Anton Wilhelm Amo,death_place,Q23498721,Côte-de-l’Or,Q8680,British Empire,Q8680,Empire britannique,,,Q8680,Empire britannique,,
British Empire/colonial context,http://www.wikidata.org/entity/Q6134244,Q6134244,James Freeman,death_place,Q49196,Newton,Q179997,Thirteen Colonies,Q30,États-Unis,Q145 | Q161885 | Q179876 | Q30,Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q145 | Q161885 | Q179876 | Q30,Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q54073 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Middlesex | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q11815,Q11815,James Monroe,birth_place,Q14712874,Monroe Hall,Q179997,Thirteen Colonies,Q30,États-Unis,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q494413 | Q1370 | Q1070529 | Q30 | Q179997,comté de Westmoreland | Virginie | Colonie de Virginie | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q11806,Q11806,John Adams,birth_place,Q16101,Braintree,Q179997,Thirteen Colonies,Q30,États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54079 | Q1191350 | Q54072 | Q771 | Q179997 | Q2748571 | Q2079909 | Q30 | Q161885,comté de Norfolk | Colonie de la baie du Massachusetts | comté de Suffolk | Massachusetts | Treize colonies | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | royaume de Grande-Bretagne
British Empire/colonial context,http://www.wikidata.org/entity/Q11806,Q11806,John Adams,work_location,Q100,Boston,Q179997,Thirteen Colonies,Q30 | Q2079909 | Q1191350,États-Unis | province de la Baie-du-Massachusetts | Colonie de la baie du Massachusetts,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54072 | Q771 | Q1191350 | Q2748571 | Q2079909 | Q30 | Q179997,comté de Suffolk | Massachusetts | Colonie de la baie du Massachusetts | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q11816,Q11816,John Quincy Adams,birth_place,Q16101,Braintree,Q179997,Thirteen Colonies,Q30,États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q1191350 | Q145 | Q161885 | Q179876 | Q2079909 | Q30,Colonie de la baie du Massachusetts | Royaume-Uni | royaume de Grande-Bretagne | royaume d'Angleterre | province de la Baie-du-Massachusetts | États-Unis,Q54079 | Q1191350 | Q54072 | Q771 | Q179997 | Q2748571 | Q2079909 | Q30 | Q161885,comté de Norfolk | Colonie de la baie du Massachusetts | comté de Suffolk | Massachusetts | Treize colonies | Dominion de Nouvelle-Angleterre | province de la Baie-du-Massachusetts | États-Unis | royaume de Grande-Bretagne
British Empire/colonial context,http://www.wikidata.org/entity/Q202703,Q202703,Nicolas-Louis de Lacaille,residence,Q4092,cap de Bonne-Espérance,Q8680,British Empire,Q258,Afrique du Sud,Q1013 | Q1030 | Q1050 | Q170072 | Q188553 | Q258 | Q8680 | Q954 | Q963,Lesotho | Namibie | Eswatini | Provinces-Unies | République batave | Afrique du Sud | Empire britannique | Zimbabwe | Botswana,Q1013 | Q1030 | Q1050 | Q170072 | Q188553 | Q258 | Q8680 | Q954 | Q963,Lesotho | Namibie | Eswatini | Provinces-Unies | République batave | Afrique du Sud | Empire britannique | Zimbabwe | Botswana,Q127167 | Q370736 | Q849164 | Q4807130 | Q27394 | Q258 | Q193619,Cap-Occidental | Colonie du Cap | province du Cap | Colonie néerlandaise du Cap | Afrique australe | Afrique du Sud | union d'Afrique du Sud
British Empire/colonial context,http://www.wikidata.org/entity/Q11812,Q11812,Thomas Jefferson,birth_place,Q4179352,Shadwell,Q179997 | Q258532,Thirteen Colonies | British America,Q30 | Q258532,États-Unis | Amérique britannique,Q161885 | Q179876 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | États-Unis,Q161885 | Q179876 | Q258532 | Q30,royaume de Grande-Bretagne | royaume d'Angleterre | Amérique britannique | États-Unis,Q488653 | Q506191 | Q1370 | Q1070529 | Q30 | Q179997,comté d'Albemarle | comté de Goochland | Virginie | Colonie de Virginie | États-Unis | Treize colonies
British Empire/colonial context,http://www.wikidata.org/entity/Q273969,Q273969,William Jones,death_place,Q1348,Calcutta,Q129286 | Q2001966 | Q8680,British Raj | Company rule in India | British Empire,Q668 | Q129286 | Q2001966,Inde | Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde,Q129286 | Q668 | Q8680,Raj britannique | Inde | Empire britannique,Q129286 | Q2001966 | Q668 | Q8680,Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde | Inde | Empire britannique,Q817165 | Q2088496 | Q129286 | Q2001966 | Q1132340 | Q1356,présidence du Bengale | district de Calcutta | Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde | division de la Présidence | Bengale-Occidental
British Empire/colonial context,http://www.wikidata.org/entity/Q273969,Q273969,William Jones,work_location,Q1348,Calcutta,Q129286 | Q2001966 | Q8680,British Raj | Company rule in India | British Empire,Q668 | Q129286 | Q2001966,Inde | Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde,Q129286 | Q668 | Q8680,Raj britannique | Inde | Empire britannique,Q129286 | Q2001966 | Q668 | Q8680,Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde | Inde | Empire britannique,Q817165 | Q2088496 | Q129286 | Q2001966 | Q1132340 | Q1356,présidence du Bengale | district de Calcutta | Raj britannique | domination de la Compagnie britannique des Indes orientales en Inde | division de la Présidence | Bengale-Occidental
China/Qing context,http://www.wikidata.org/entity/Q586221,Q586221,Antoine Gaubil,death_place,Q956,Pékin,Q13426199 | Q148 | Q696242 | Q704714 | Q814959 | Q8733 | Q9903,Republic of China | People's Republic of China | Wang Jingwei regime | Provisional Government of the Republic of China | Beiyang Government | Qing dynasty | Ming dynasty,Q148 | Q13426199 | Q696242 | Q704714 | Q814959 | Q8733 | Q9903,République populaire de Chine | république de Chine | Gouvernement national réorganisé de la République de Chine | gouvernement provisoire de la république de Chine | gouvernement de Beiyang | dynastie Qing | dynastie Ming,Q148,République populaire de Chine,Q13426199 | Q148 | Q696242 | Q704714 | Q814959 | Q8733 | Q9903,république de Chine | République populaire de Chine | Gouvernement national réorganisé de la République de Chine | gouvernement provisoire de la république de Chine | gouvernement de Beiyang | dynastie Qing | dynastie Ming,Q148 | Q7313 | Q8733 | Q9903,République populaire de Chine | dynastie Yuan en Chine | dynastie Qing | dynastie Ming
