slice_id,review_group,language_edition,slice_entities,represented_entities,slice_representation_pct,global_representation_pct,slice_to_global_representation_index,context_label,language_label,language_order,context_order
france,France,enwiki,2922,1244,42.57,36.9,1.1537,France,English,0,0
france,France,dewiki,2922,1065,36.45,27.68,1.3168,France,German,1,0
france,France,frwiki,2922,1742,59.62,24.21,2.4626,France,French,2,0
france,France,ruwiki,2922,709,24.26,16.94,1.4321,France,Russian,3,0
france,France,itwiki,2922,779,26.66,14.25,1.8709,France,Italian,4,0
france,France,eswiki,2922,559,19.13,12.76,1.4992,France,Spanish,5,0
france,France,svwiki,2922,530,18.14,12.7,1.4283,France,Swedish,6,0
france,France,plwiki,2922,329,11.26,8.4,1.3405,France,Polish,7,0
france,France,ptwiki,2922,322,11.02,6.77,1.6278,France,Portuguese,8,0
france,France,nlwiki,2922,388,13.28,6.48,2.0494,France,Dutch,9,0
france,France,ukwiki,2922,238,8.15,6.04,1.3493,France,Ukrainian,10,0
france,France,dawiki,2922,156,5.34,3.95,1.3519,France,Danish,11,0
germany,Germany,enwiki,3711,936,25.22,36.9,0.6835,Germany,English,0,1
germany,Germany,dewiki,3711,2202,59.34,27.68,2.1438,Germany,German,1,1
germany,Germany,frwiki,3711,697,18.78,24.21,0.7757,Germany,French,2,1
germany,Germany,ruwiki,3711,682,18.38,16.94,1.085,Germany,Russian,3,1
germany,Germany,itwiki,3711,523,14.09,14.25,0.9888,Germany,Italian,4,1
germany,Germany,eswiki,3711,346,9.32,12.76,0.7304,Germany,Spanish,5,1
germany,Germany,svwiki,3711,494,13.31,12.7,1.048,Germany,Swedish,6,1
germany,Germany,plwiki,3711,407,10.97,8.4,1.306,Germany,Polish,7,1
germany,Germany,ptwiki,3711,211,5.69,6.77,0.8405,Germany,Portuguese,8,1
germany,Germany,nlwiki,3711,213,5.74,6.48,0.8858,Germany,Dutch,9,1
germany,Germany,ukwiki,3711,232,6.25,6.04,1.0348,Germany,Ukrainian,10,1
germany,Germany,dawiki,3711,204,5.5,3.95,1.3924,Germany,Danish,11,1
british,British,enwiki,2099,1689,80.47,36.9,2.1808,British,English,0,2
british,British,dewiki,2099,492,23.44,27.68,0.8468,British,German,1,2
british,British,frwiki,2099,680,32.4,24.21,1.3383,British,French,2,2
british,British,ruwiki,2099,395,18.82,16.94,1.111,British,Russian,3,2
british,British,itwiki,2099,389,18.53,14.25,1.3004,British,Italian,4,2
british,British,eswiki,2099,369,17.58,12.76,1.3777,British,Spanish,5,2
british,British,svwiki,2099,336,16.01,12.7,1.2606,British,Swedish,6,2
british,British,plwiki,2099,245,11.67,8.4,1.3893,British,Polish,7,2
british,British,ptwiki,2099,268,12.77,6.77,1.8863,British,Portuguese,8,2
british,British,nlwiki,2099,191,9.1,6.48,1.4043,British,Dutch,9,2
british,British,ukwiki,2099,175,8.34,6.04,1.3808,British,Ukrainian,10,2
british,British,dawiki,2099,106,5.05,3.95,1.2785,British,Danish,11,2
china,China,enwiki,424,70,16.51,36.9,0.4474,China/Qing,English,0,3
china,China,dewiki,424,22,5.19,27.68,0.1875,China/Qing,German,1,3
china,China,frwiki,424,35,8.25,24.21,0.3408,China/Qing,French,2,3
china,China,ruwiki,424,30,7.08,16.94,0.4179,China/Qing,Russian,3,3
china,China,itwiki,424,15,3.54,14.25,0.2484,China/Qing,Italian,4,3
china,China,eswiki,424,18,4.25,12.76,0.3331,China/Qing,Spanish,5,3
china,China,svwiki,424,22,5.19,12.7,0.4087,China/Qing,Swedish,6,3
china,China,plwiki,424,14,3.3,8.4,0.3929,China/Qing,Polish,7,3
china,China,ptwiki,424,8,1.89,6.77,0.2792,China/Qing,Portuguese,8,3
china,China,nlwiki,424,24,5.66,6.48,0.8735,China/Qing,Dutch,9,3
china,China,ukwiki,424,26,6.13,6.04,1.0149,China/Qing,Ukrainian,10,3
china,China,dawiki,424,2,0.47,3.95,0.119,China/Qing,Danish,11,3
